Sku_id,Desc,Vendor,Zone,Aisle,Bay,Sell_unit,Pack_1,Pack_2,Pack_3,DOFT
PAP336-11,"PEN,BALL PT,FINE,STICK,BLUE",PAP,B,4,9,DZ,EA,DZ,,1995/4/2
PAP337-11,"PEN,BALL PT,FINE,STICK,RED",PAP,B,4,9,DZ,EA,DZ,,1995/4/2
PAP338-11,"PEN,BALL PT,FINE,STICK,BLCK",PAP,B,4,10,DZ,EA,DZ,,1995/4/2
PAP340-51,"MARKER,SET,WHITE BOARD,4CLR",PAP,B,4,10,ST,EA,ST,,1995/4/2
PAP380-64,"PEN,BALL ERASERMATE,MD,BLUE",PAP,B,4,10,EA,EA,PK,,1995/4/2
PAP391-01,"PEN,BALL,MD,ERASERMATE 2,BE",PAP,B,4,10,EA,EA,DZ,,1995/4/2
PAP392-01,"PEN,BALL,MD,ERASERMATE 2,RD",PAP,B,4,10,EA,EA,DZ,,1995/4/2
PAP393-01,"PEN,BALL,MD,ERASERMATE 2,BK",PAP,B,4,11,EA,EA,DZ,,1995/4/2
PAP396-01,"PEN,BALL,FN,ERASERMATE 2,BE",PAP,B,4,11,EA,EA,DZ,,1995/4/2
PAP397-01,"PEN,BALL,FN,ERASERMATE 2,RD",PAP,B,4,11,EA,EA,DZ,,1995/4/2
PAP398-01,"PEN,BALL,FN,ERASERMATE 2,BK",PAP,B,4,11,EA,EA,DZ,,1995/4/2
PAP421-04,"REFILL,PEN,ERASERMATE,MD,BE",PAP,B,4,11,EA,EA,DZ,,1995/4/2
PAP431-14,"REFILL,PWRPT,FN,BE,PAP43104",PAP,B,4,11,EA,EA,DZ,,1995/4/2
PAP433-14,"REFILL,PWRPT,FN,BK,PAP43304",PAP,B,4,11,EA,EA,DZ,,1995/4/2
PAP491-14,"REFILL,PWRPT,MD,BE,PAP49104",PAP,B,4,12,EA,EA,DZ,,1995/4/2
PAP493-14,"REFILL,PWRPT,MD,BK,PAP49304",PAP,B,4,12,EA,EA,DZ,,1995/4/2
PAP562-01,"CORRECTION,PEN,LIQUID PAPER",PAP,B,4,12,EA,EA,BX,,1995/4/2
PAP563-01,"CORRECTION,MULTI FLUID",PAP,B,4,19,EA,EA,BX,,1995/4/2
PAP564-01,"FLUID,CORRECTION,WHITE",PAP,B,4,20,EA,EA,BX,,1995/4/2
PAP566-01,"FLUID,CORRECTION,LEDGER BUF",PAP,B,4,12,EA,EA,BX,,1995/4/2
PAP567-01,"FLUID,CORRECTION,LEDGER GRE",PAP,B,4,12,EA,EA,BX,,1995/4/2
PAP568-01,"FLUID,CORRECTION,CANARY YEL",PAP,B,4,12,EA,EA,BX,,1995/4/2
PAP569-01,"FLUID,CORRECTION,PINK",PAP,B,4,12,EA,EA,BX,,1995/4/2
PAP570-01,"FLUID,CORRECTION,BLUE",PAP,B,4,13,EA,EA,BX,,1995/4/2
PAP571-01,"FLUID,CORRECTION,GREEN",PAP,B,4,13,EA,EA,BX,,1995/4/2
PAP573-01,"FLUID,CORRECTION,IVORY",PAP,B,4,13,EA,EA,BX,,1995/4/2
